Id,Prediction
0,3905494.3650966
1,3599832.93708159
2,3006573.57909264
3,2950935.76100846
4,3113501.7105172
5,4099199.17371635
6,3843459.38942381
7,2948398.54735765
8,5076177.24313543
9,3974865.25011931
10,4259428.65290795
11,3535644.02572083
12,4526772.87537478
13,4491121.38405808
14,3864353.11091264
15,4192081.13378468
16,5313679.47366908
17,2988703.18417592
18,4405376.71017226
19,3067895.52895073
20,2812894.69687984
21,4508663.25739585
22,4276999.27155345
23,5149195.15574206
24,4573327.00152059
25,3869882.81712266
26,3197927.53818589
27,4012970.1016286
28,3265296.23111246
29,4080903.53673478
30,3758150.96353696
31,2797263.08188202
32,3099176.23935281
33,4175344.22978991
34,2728931.64268144
35,3895533.58615182
36,3795268.00131033
37,4460600.32258765
38,3460278.9766105
39,3455052.76742039
40,4343064.27948664
41,4164907.19232431
42,4535358.54867412
43,4923988.72697885
44,4718706.66340952
45,3612313.83052352
46,2807375.75457611
47,2794947.28945183
48,4597930.544274
49,4112861.55890914
50,4658807.14444027
51,3494736.68140573
52,4326160.61986901
53,2874026.76887566
54,3914031.67328634
55,4218559.0453828
56,4845015.81210938
57,3167803.12278791
58,4425936.13113751
59,4586659.85016473
60,2785212.7044377
61,4251416.12059759
62,4080234.31389213
63,3757769.93246556
64,4225146.44670642
65,5184926.13230779
66,4298015.25848338
67,5292767.34599438
68,4315740.08572036
69,4164945.47581681
70,4233403.46890038
71,2753933.9314254
72,3920482.03312785
73,3575510.02406966
74,5104654.48619533
75,4418623.39410409
76,3862170.0774524
77,3532223.49412793
78,4169227.5396256
79,3852464.78486315
80,4960762.96564629
81,4084932.49867223
82,4176633.5735386
83,4792535.63873016
84,5258841.71842097
85,2403710.546391
86,4352459.36643915
87,4541594.52339907
88,4540768.84067992
89,3161826.508676
90,4874487.44062453
91,4592450.32399378
92,3096870.66084289
93,3274933.34099184
94,5202230.63175816
95,3149596.63035337
96,4034449.78189583
97,3954065.59217371
98,3531869.35922427
99,4451086.4354359
100,3723572.67955108
101,3098570.97927797
102,3510148.57665334
103,3670178.86496445
104,4170786.77021395
105,3096850.27292424
106,4655769.30208616
107,3985906.67941724
108,4928911.43142374
109,4376148.01904005
110,4920583.80534364
111,3503285.37517541
112,4345841.57310876
113,3746467.32392744
114,3825912.13858047
115,4308960.28515336
116,2873807.51160117
117,4425479.29664448
118,3471020.18260739
119,4575347.89447897
120,4637964.92646304
121,4455254.11355318
122,3963039.05354067
123,5298690.07962145
124,2839892.68630232
125,3874927.03627735
126,4494671.32936576
127,3990540.43563235
128,3835224.57178879
129,4237879.88239251
130,2883391.15604551
131,4273513.12146448
132,4807000.74506667
133,3249477.17799273
134,4715481.58217233
135,3651569.21659751
136,3873851.75075009
137,4013421.89688006
138,3582372.00918402
139,3986929.46732748
140,5200124.19317018
141,3158671.65910832
142,4519504.17450594
143,3142631.10887267
144,4339203.5224988
145,3726803.56151321
146,4295317.06223262
147,3139406.87948899
148,4061231.95717121
149,4434055.2250347
150,4413386.99064915
151,3669882.74533699
152,5121381.2441863
153,5426721.34160562
154,3304914.83297895
155,4785933.45280466
156,4880060.4665742
157,4232329.35769639
158,3437643.52125643
159,4156913.83956985
160,2940186.65830955
161,4455521.69706536
162,4160448.7489841
163,4814088.95557126
164,5220358.83801862
165,3505546.30344725
166,4351130.79751381
167,3196367.67346559
168,3651000.3226994
169,4624878.3339668
170,4021953.53163697
171,3147001.42532794
172,3611614.42371096
173,4692613.90642281
174,4332506.38820568
175,2788629.13275706
176,5342420.12597716
177,4917595.87495907
178,3769936.15731974
179,3346739.68687163
180,4194793.31518987
181,3865089.31946372
182,4760525.77072784
183,4634031.53781466
184,4347776.71788447
185,3743260.49020266
186,4213765.1187893
187,4788502.14930193
188,5085791.51227159
189,4843581.65875791
190,4472476.57846701
191,4662817.01902921
192,5026568.47552449
193,3371223.00790716
194,3983958.39674441
195,3849953.28932804
196,4470885.97751139
197,2845148.20156355
198,3349882.11255797
199,4378719.5336877
200,3714762.43974569
201,3245594.34899746
202,4765564.92492254
203,4589643.91666804
204,4659131.8991875
205,4307757.90895329
206,4709183.65907056
207,4276697.23359375
208,4511980.86377264
209,3968225.78377446
210,4827632.421694
211,4091700.03947794
212,3290066.80845892
213,3280970.14142784
214,5251659.01904173
215,2536372.96867495
216,4161241.62054389
217,4603710.55629597
218,4196745.37215105
219,3082741.5348714
220,5464785.53212977
221,4911857.92604414
222,5239151.71244366
223,3903860.99802445
224,4670983.45907097
225,4653885.46619955
226,3266095.53016031
227,5290023.49969265
228,3394462.46607763
229,4346633.54399353
230,4281147.73332419
231,5647841.66679025
232,4653335.22385944
233,3942323.82853307
234,3618589.31378772
235,4810705.19047618
236,3775495.46958327
237,3822168.49754392
238,4300406.26125097
239,4455079.91284056
240,4181966.99502252
241,4567229.76112099
242,3190182.16545642
243,4190922.95108248
244,4906246.37485008
245,4957864.56637209
246,4140199.79513294
247,4393448.80070582
248,4191000.40015787
249,4577436.17460679
250,3170265.95888461
251,4971654.22767093
252,5027922.34594445
253,3990566.58665457
254,3787266.32950964
255,3816906.7919661
256,3827116.69549166
257,4653392.21222746
258,3531152.9102202
259,4407299.28537483
260,4119593.04952934
261,3510968.4670234
262,4773344.89538134
263,4455619.67176515
264,2586913.89468465
265,4600137.43413965
266,4560261.20177453
267,4930793.73145869
268,4622695.55020633
269,4324790.40138615
270,3618055.14511205
271,2960613.43224173
272,4427476.10770574
273,4775484.57499589
274,3908700.06044781
275,4805490.87147739
276,5461667.06389447
277,4179475.75806266
278,4704713.05718014
279,3909495.46704066
280,4511844.40106554
281,3887241.16215644
282,3601861.66326154
283,4098558.19848123
284,4061855.72513408
285,2944681.26283881
286,4716506.90679088
287,4626246.89078313
288,4192743.99130563
289,3188341.75834732
290,4353791.77275337
291,4246989.40906456
292,3154854.35291533
293,4290925.86633761
294,3810063.27673417
295,4723200.50512725
296,4829807.43028259
297,5147241.98420337
298,3701751.45478308
299,4369017.2664578
300,4157975.43173079
301,4617074.81852917
302,5120628.55664188
303,4562058.552419
304,4442542.76116053
305,5250267.4730082
306,4078937.08604528
307,5079593.49606394
308,2504510.64843605
309,3830998.09361128
310,4311018.31953947
311,3901083.5386881
312,3671289.50636467
313,4214323.82422701
314,3160479.39443526
315,3208338.00279732
316,2597673.28234853
317,4340194.9643353
318,4842169.66446487
319,3414477.21978539
320,3660096.79585569
321,3045244.05496136
322,4282288.37566358
323,4303047.14724227
324,3970376.12445522
325,3550849.0700829
326,4899886.17804586
327,4507928.51699876
328,3810141.56650527
329,5354187.94285653
330,2808584.27438654
331,5143868.39698527
332,4107925.10522498
333,4922489.83810548
334,5028209.22326059
335,4337095.72660465
336,3495758.92587593
337,4550093.3833035
338,3570451.68365724
339,3302873.55668504
340,4150695.57301662
341,4308430.43287237
342,4815136.81378622
343,4245896.14363729
344,4253245.15204704
345,3786460.77372001
346,3588480.09046466
347,4761512.09231594
348,3077376.59614895
349,4869406.32513524
350,4671498.01128614
351,4286558.42252154
352,5005897.89242885
353,3309516.84705113
354,3631399.9676601
355,3701035.32589284
356,4513248.98799808
357,4041759.97300906
358,4284449.32278693
359,4936768.33218442
360,4376887.87100018
361,4085294.62677933
362,4159062.61965042
363,4470501.98335057
364,4966439.5868343
365,3540584.31635999
366,2886229.06142508
367,3340638.57833394
368,3712629.3546791
369,4673381.9722738
370,4107034.31424033
371,4579300.71328643
372,4836553.01215439
373,4909307.13741138
374,3682630.6469831
375,4114525.85226738
376,3556436.61802462
377,2993445.407843
378,4739932.61700885
379,4153938.728895
380,4604302.67392777
381,3797366.23331291
